"years","patent_number","uspc_subclass_id","assignee_organization","assignee_type","assignee_country","assignee_state","assignee_key_id","num_inventors","specialization"
1979,"4133417","123/41.12","Cummins Engine Company, Inc.",2,"US","IN",86756,2,"123/41.12"
1979,"4133475","123/406.39","General Motors Corporation",2,"US","MI",38960,2,"180/9.5"
1979,"4133547","123/41.64","Massey-Ferguson Inc.",2,"US","MI",178262,2,"180/69.21"
1979,"4134367","123/485","The United States of America as represented by the Secretary of the Army",6,"US","DC",314293,2,"180/167"
1979,"4134368","123/483","Edelbrock-Hadley Corporation",2,"US","CA",424994,1,"123/483"
1979,"4134370","123/41.31","Kubota Corporation",3,"JP","",387164,3,"180/6.7"
1979,"4134372","123/90.28","Ringspann Albrecht Maurer K.G.",3,"DE","",263570,2,"123/90.28"
1979,"4134373","123/352","General Motors Corporation",2,"US","MI",38960,4,"180/9.5"
1979,"4134374","123/436","Robert Bosch GmbH",3,"DE","",423181,3,"180/313"
1979,"4134375","123/699","Nissan Motor Co., Ltd.",3,"JP","",43058,2,"180/90"
1979,"4134376","123/568.11","Toyo Kogyo Co., Ltd.",3,"JP","",364454,2,"123/568.22"
1979,"4134377","123/568.12","BorgWarner Inc.",2,"US","IL",164375,2,"180/248"
1979,"4134378","123/519","General Motors Corporation",2,"US","MI",38960,1,"180/9.5"
1979,"4134379","123/445","Robert Bosch GmbH",3,"DE","",423181,1,"180/313"
1979,"4134380","123/142.5R","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4134470","123/401","General Motors Corporation",2,"US","MI",38960,2,"180/9.5"
1979,"4134596","123/41.47","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4134739","123/3","Siemens Aktiengesellschaft",3,"DE","",345236,9,"180/197"
1979,"4135066","123/146.5A","Toyota Jidosha Kabushiki Kaisha",3,"JP","",2267,2,"180/68.4"
1979,"4135479","123/73.AA","Karl Schmidt GmbH",3,"DE","",210684,3,"123/73.AA"
1979,"4135480","123/406.71","Ethyl Corporation",2,"US","VA",289595,1,"123/406.71"
1979,"4135481","123/430","Cornell Research Foundation, Inc.",2,"US","NY",382948,1,"123/430"
1979,"4135482","123/680","Colt Industries Operating Corp.",2,"US","NY",381578,2,"123/699"
1979,"4135485","123/242","Curtiss-Wright Corporation",2,"US","NJ",123286,1,"123/242"
1979,"4136301","123/596","Kabushiki Kaisha Sigma Electronics Planning",3,"JP","",175771,2,"123/596"
1979,"4136645","123/684","Nippondenso Co., Ltd.",3,"JP","",316278,7,"180/287"
1979,"4136648","123/54.7","Ford Motor Company",2,"US","MI",172641,1,"180/89.14"
1979,"4136649","123/378","Mitsubishi Jidosha Kogyo Kabushiki Kaisha",3,"JP","",77792,1,"180/274"
1979,"4136651","123/700","Nippon Soken, Inc.",3,"JP","",384280,3,"123/700"
1979,"4136652","123/514","Volkswagen AG",3,"DE","",414202,1,"123/644"
1979,"4136653","123/453","Robert Bosch GmbH",3,"DE","",423181,5,"180/313"
