years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1980,4224907,123/352,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,3.0,180/426
1980,4224908,123/438,Colt Industries Operating Corp.,2,org_uxOB1c7uIr4oU9ZBDLZY,US,NY,381578,2.0,180/177
1980,4224909,123/568.31,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,180/84
1980,4224910,123/696,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4224911,123/684,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,180/84
1980,4224912,123/568.19,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,1.0,180/84
1980,4224913,123/686,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,180/69.21
1980,4224914,123/452,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,180/335
1980,4224915,123/533,Volkswagen AG,3,org_X8GNqB5ljAsd8a4WLGC4,DE,,414202,3.0,180/291
1980,4224916,123/502,"Stanadyne, Inc.",2,org_7zGswU1HKlqRbbwRdZ0L,US,CT,58681,1.0,123/90.55
1980,4224917,123/647,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,5.0,180/309
1980,4224918,123/657,"Toyo Kogyo Co., Ltd.",3,org_TSOSzugeNFK9ItGw5Nd9,JP,,364454,4.0,123/657
1980,4224919,123/195A,Fichtel & Sachs AG,3,org_3GCV1GxMHsanUjtjK7Bv,DE,,24510,2.0,180/219
1980,4224920,123/198F,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,4.0,180/90
1980,4225759,123/146.5A,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,2.0,180/291
1980,4225898,123/490,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,180/428
1980,4225925,123/406.6,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,4.0,180/84
1980,4226213,123/1A,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,DE,,329040,1.0,180/401
1980,4226214,123/2,Fiat Auto S.p.A.,3,org_9vqS987TSjQGkC5VTmYs,IT,,72700,1.0,123/269
1980,4226215,123/487,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,3.0,123/656
1980,4226216,123/41R,Societe d'Etudes de Machines Thermiques,3,org_HQ5wMLbtzgVZRtU34FZo,FR,,186456,1.0,123/76
1980,4226217,123/41.62,Bayerische Motoren Werke Aktiengesellschaft,3,org_LkwL3nRf2OtJlSOE3O5w,DE,,243319,2.0,180/286
1980,4226219,123/406.53,RCA Corporation,2,org_UxENMMIZvKLjwKOJAWEc,US,NY,381398,1.0,123/406.53
1980,4226220,123/406.69,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,180/84
1980,4226221,123/687,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,180/90
1980,4226222,123/568.2,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,7.0,180/84
1980,4227490,123/492,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,180/84
1980,4227491,123/488,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,2.0,180/335
