years,patent_number,uspc_subclass_id,assignee_organization,assignee_type,assignee_id,assignee_country,assignee_state,assignee_key_id,num_inventors,specialization
1976,3934417,60/516,Robertshaw Controls Company,2,org_WLFbXEQXv0uuNglpaujt,US,VA,405316,4.0,60/516
1976,3937017,60/516,Maschinenfabrik Augsburg-Nurnberg Aktiengesellschaft,3,org_d7Cgs8GkaSDEwmfFOL1Z,DT,,119492,3.0,60/516
1976,3953715,701/123,Societe des Procedes Modernes d'Injection Sopromi,3,org_Z8mWQfh54whRqC1GqzOM,FR,,443684,1.0,701/123
1976,3953716,701/123,Agence Nationale de Valorisation de la Recherche (ANVAR),7,org_7IZPx0no0y4uuAMGwkei,FR,,54873,1.0,701/123
1976,3956895,60/516,The United States of America as represented by the National Institute of Health,6,org_aaQSmBL5udG3Y90mfh5v,US,DC,76455,4.0,60/516
1976,3956898,60/698,"Combustion Engineering, Inc.",2,org_5jkJ96hMiw938qSgh5Mq,US,CT,40134,1.0,60/698
1976,3958418,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,701/123
1976,3964443,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/103
1976,3966362,60/698,"Airco, Inc.",2,org_pAnvrlWe1Qc9YtqVFnnr,US,NJ,297100,1.0,60/698
1976,3967097,701/123,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,701/123
1976,3967175,903/903,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,PA,336770,1.0,903/903
1976,3969614,701/103,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,3.0,701/123
1976,3970163,903/905,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JA,,43058,1.0,903/905
1976,3975952,701/123,Caterpillar Tractor Co.,2,org_pDk0VhqxpSgeexoQra8Q,US,IL,298496,3.0,701/123
1976,3981282,701/110,Lumenition Limited,3,org_bYR1RbcGDFc826crIDMD,GB,,102285,1.0,701/110
1976,3983372,701/123,Chevron Research Company,2,org_D7AO2tDIwGfvNcTHH8jl,US,CA,119471,1.0,701/123
1976,3983533,701/123,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,2.0,701/123
1976,3983696,60/272,Audi Nsu Auto Union Aktiengesellschaft,3,org_PkasPZOnIqullkKHw8WD,DT,,301611,1.0,60/272
1976,3983851,701/110,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JA,,436191,1.0,701/110
1976,3984977,60/272,"Toyo Kogyo Co., Ltd.",3,org_TSOSzugeNFK9ItGw5Nd9,JA,,364454,2.0,60/272
1976,3984978,60/698,The Cessna Aircraft Company,2,org_naoESCsHYh4BjBn7LiPm,US,KS,267646,1.0,60/698
1976,3986006,701/104,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3986009,701/101,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,1.0,701/101
1976,3987143,60/272,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,60/272
1976,3988600,701/123,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3989024,701/101,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,2.0,701/101
1976,3991564,60/698,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,NY,336770,2.0,903/903
1976,3991726,701/113,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,701/113
1976,3991727,701/104,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1976,3992885,60/698,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,JA,,329040,1.0,60/698
1977,4004421,60/516,Ketobi Associates,2,org_SLCJ3IRoKYjXl65NBtxY,US,CA,346204,1.0,60/516
1977,4006595,60/516,"Orange State, Inc.",2,org_iDCdrq8F2zIjfEcRVtco,US,FL,195029,1.0,60/516
1977,4008607,701/123,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JA,,316278,3.0,701/123
1977,4008698,701/113,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,1.0,701/113
1977,4010717,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/103
1977,4018195,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,60/272
1977,4020635,60/698,Automotive Products plc,3,org_itOgP74xhayLw9QG7JKJ,GB,,202905,2.0,60/698
1977,4026251,701/123,Pennsylvania Research Corporation,2,org_i8GCqTUxQCbuIKslHqPz,US,PA,193059,3.0,701/123
1977,4027993,60/698,Polaroid Corporation,2,org_VkZj2urRfJOeTtjEmiQr,US,MA,390298,1.0,60/698
1977,4032755,701/103,The Lucas Electrical Company Limited,3,org_ZfsUxKZXEllQLmIt3Bxm,GB,,446766,2.0,701/103
1977,4034723,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,60/272
1977,4035619,701/101,Texas Instruments Incorporated,2,org_wc04cUrRKOIlCxgRGBRE,US,TX,400769,1.0,701/101
1977,4038526,701/123,The Secretary of State for Defence in Her Britanic Majesty's Government of the United Kingdom of Great Britain and Northern Ireland,7,org_w0yiPjKfppuZ6ZILtN6j,EN,,397663,2.0,701/123
1977,4042056,903/914,Automobile Corporation of America,2,org_uR7dLv1cLBgpsOv0Of4B,US,CT,378539,1.0,903/914
1977,4044234,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,2.0,701/123
1977,4044235,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,1.0,701/123
1977,4044236,701/101,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DT,,423181,3.0,701/123
1977,4046114,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,60/272
1977,4046998,701/123,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/123
1977,4048479,701/104,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,1.0,701/104
1977,4048964,701/104,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,701/104
1977,4052260,60/698,Kernforschungsanlage Julich Gesellschaft mit beschrankter Haftung,3,org_WHJGsi4cQq6L3eq9PKTQ,DE,,403481,4.0,60/698
1977,4054051,60/516,"Cutler-Hammer, Inc.",2,org_9mzAdRcK21L28CuzEph8,US,WI,70547,1.0,60/516
1977,4054781,701/123,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/123
1977,4057042,701/103,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JA,,43058,1.0,701/103
1977,4058709,701/105,Allied Chemical Corporation,2,org_dEVgXGdyiDJw8fm0L76W,US,NJ,122439,1.0,701/105
1977,4061023,701/123,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JA,,384280,2.0,701/123
1977,4061025,701/110,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,2.0,701/110
1977,4062232,701/101,RCA Corporation,2,org_UxENMMIZvKLjwKOJAWEc,US,NY,381398,1.0,701/101
1977,4063538,701/101,The Board of Trustees of the Leland Stanford Junior University,2,org_gRRyEJIJVJUR9X0EyS6G,US,CA,172507,3.0,701/101
1978,4068477,60/698,Automobiles Peugeot,3,org_0wIDixNGKr7DI0OxL3wH,FR,,6577,1.0,60/698
1978,4073270,701/103,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JA,,316278,1.0,701/110
1978,4077204,701/123,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JA,,43058,1.0,701/123
1978,4086884,701/123,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,2.0,701/123
1978,4088109,701/113,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,3.0,701/123
1978,4097752,903/905,Daimler-Benz Aktiengesellschaft,3,org_RfsqqmkbFTkrFXKfjR3X,JA,,329040,2.0,903/905
1978,4098077,60/272,Motoren-und Turbinen-Union Friedrichshafen GmbH,3,org_UiBuoFDuSh7ttwIb101t,DE,,374316,3.0,60/272
1978,4098242,701/101,Barber-Colman Company,2,org_g1tHkLbXhGOqJMEgTgP8,US,IL,162055,1.0,701/101
1978,4099495,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,4.0,701/123
1978,4103211,903/903,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,PA,336770,2.0,903/903
1978,4104907,701/101,"Megasystems, Inc.",2,org_Oke19whiKnnyMnP1rwUM,US,OH,286873,1.0,701/101
1978,4104990,701/123,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,1.0,701/123
1978,4107776,701/123,U.S. Philips Corporation,2,org_fBtpUrdoVp5Lzvqma3Lv,US,NY,150117,1.0,701/123
1978,4112880,701/103,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,701/123
1978,4119070,701/103,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,701/123
1978,4119862,903/903,Tokyo Shibaura Denki Kabushiki Kaisha,3,org_1y9Lgk9iLiNYguJf1N2m,JP,,14165,1.0,903/903
1978,4120750,60/698,Kernforschungsanlage Julich Gesellschaft mit beschrankter Haftung,3,org_WHJGsi4cQq6L3eq9PKTQ,DE,,403481,3.0,60/698
1978,4122811,701/123,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,701/123
1978,4125093,701/103,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,701/103
1978,4125894,701/123,Sun Electric Corporation,2,org_9F5VTCM8GFgR5PrxLrhW,US,IL,68586,16.0,701/123
1978,4128885,701/105,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,2.0,701/105
1978,4129034,701/123,Caterpillar Tractor Co.,2,org_pDk0VhqxpSgeexoQra8Q,US,IL,298496,4.0,701/123
1979,4133205,701/101,RCA Corporation,2,org_UxENMMIZvKLjwKOJAWEc,US,NY,381398,2.0,701/101
1979,4136389,701/123,"Cummins Engine Company, Inc.",2,org_awogNg609WYKBbax3pN5,US,IN,86756,1.0,701/123
1979,4138979,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/123
1979,4140087,701/113,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,4.0,701/113
1979,4141220,60/698,Caterpillar Tractor Co.,2,org_pDk0VhqxpSgeexoQra8Q,US,IL,298496,1.0,60/698
1979,4142493,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/123
1979,4143280,903/903,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,PA,336770,3.0,903/903
1979,4145746,701/123,Sun Electric Corporation,2,org_9F5VTCM8GFgR5PrxLrhW,US,IL,68586,3.0,701/123
1979,4150431,701/123,"Cummins Engine Company, Inc.",2,org_awogNg609WYKBbax3pN5,US,IN,86756,1.0,701/123
1979,4155332,701/103,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/108
1979,4157030,701/123,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/123
1979,4159088,701/123,The Boeing Company,2,org_6FkNUgPmBObtXN2u4NFb,US,WA,46583,1.0,701/123
1979,4159427,60/698,Messerschmitt-Bolkow-Blohm GmbH,3,org_bZXNt1K50ZlUk7EEd6KP,DE,,102854,1.0,60/698
1979,4163282,701/108,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,4.0,701/108
1979,4164032,701/108,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,3.0,701/108
1979,4164206,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/123
1979,4165795,903/918,Gould Inc.,2,org_fKZ4ktVl9mib6kaBPChZ,US,IL,154416,3.0,903/918
1979,4168682,701/123,"Motorola, Inc.",2,org_NKsxikGVm2cvWxVCf6ze,US,IL,272459,2.0,701/123
1979,4170040,701/123,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,2.0,701/123
1979,4170131,701/101,Clayton Mfg. Co.,2,org_VVZs1rLGQVx2Bw6kriUk,US,CA,395493,2.0,701/101
1979,4171637,701/101,"Beckman Instruments, Inc.",2,org_A4afHrZW0C2Yll85xZnq,US,CA,74794,1.0,701/101
1979,4176625,701/101,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/123
1979,4177516,701/101,Shaw GMC Trucks Ltd.,3,org_N7arQD8jimUZWaw9gzHx,CA,,266710,1.0,701/101
1979,4180138,903/916,Dana Corporation,2,org_hBz9IOaIxGFUDKguhe1a,US,OH,179764,1.0,903/916
1980,4181944,701/108,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/110
1980,4189925,60/698,Northern Illinois Gas Company,2,org_kvODGH6xlskiqXIFWAf9,US,IL,233517,1.0,60/698
1980,4189940,701/101,RCA Corporation,2,org_UxENMMIZvKLjwKOJAWEc,US,NY,381398,3.0,701/101
1980,4199812,701/104,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,5.0,701/104
1980,4201159,701/104,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,2.0,701/123
1980,4201161,701/104,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,701/110
1980,4205377,701/108,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/110
1980,4205378,701/113,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,1.0,903/903
1980,4205420,60/272,"Repwell Associates, Inc.",2,org_qrT99MyhfEJCyMRoBSfb,US,MI,319945,1.0,60/272
1980,4207512,903/903,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,1.0,903/903
1980,4209152,701/123,The Boeing Company,2,org_6FkNUgPmBObtXN2u4NFb,US,WA,46583,1.0,701/123
1980,4209829,701/123,Regie Nationale des Usines Renault,3,org_EQiAowmpAcw5pli4YOGe,FR,,142485,1.0,701/123
1980,4210908,701/123,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,1.0,701/123
1980,4211291,60/698,"Smith International, Inc.",2,org_a5Ywh7W29giDMnhmscp7,US,CA,75224,1.0,60/698
1980,4212065,701/104,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/110
1980,4212066,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/110
1980,4213180,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/110
1980,4213181,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/110
1980,4214307,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/110
1980,4214308,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/110
1980,4217644,701/123,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,701/123
1980,4218744,701/123,Avicon Development Group,2,org_hkoPVIdhE6rlS2yPjWk9,US,TX,183851,2.0,701/123
1980,4228653,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,701/106
1980,4229941,60/698,"Solwin Industries, Inc.",2,org_JUyHwwS5p1eIQQmqUyj0,US,NY,218379,1.0,60/698
1980,4235204,701/106,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,1.0,701/106
1980,4236214,701/110,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,1.0,701/110
1980,4240145,701/110,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,701/123
1980,4242728,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/110
1980,4242729,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/110
1981,4244023,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4245312,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4245314,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/113
1981,4245315,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/113
1981,4245317,701/113,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4246639,701/113,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/113
1981,4249242,701/123,Jaeger,3,org_xI8u1dhhK4sRKNeGadOj,FR,,418526,1.0,701/123
1981,4255789,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/113
1981,4258421,701/123,Rockwell International Corporation,2,org_RVhLPtdxYAGWdc6GBsuA,US,PA,336345,2.0,701/123
1981,4258422,701/123,Honeywell International Inc.,2,org_FfZ2sonhh4RvKY8vYp2B,US,MN,152057,3.0,701/123
1981,4258547,60/272,Chrysler Corporation,2,org_fZmHNwZIDugSjOzfMmAC,US,MI,161403,1.0,60/272
1981,4263652,701/109,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4266274,701/108,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4266275,701/110,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/113
1981,4267895,903/952,The Budd Company,2,org_KWqB3j3PfDkt8Ihzw3m9,US,MI,234025,1.0,903/952
1981,4272963,60/698,"Layco, Inc.",2,org_H3rXWXnCrvr5BZ0SqIlQ,US,OK,177363,1.0,60/698
1981,4274141,701/113,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,701/113
1981,4274144,701/103,"ACF Industries, Incorporated",2,org_iSdadyvcQieP7WNuV1k1,US,NY,202257,4.0,701/103
1981,4276600,701/109,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/113
1981,4276601,701/103,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/113
1981,4276602,701/103,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/113
1981,4277829,701/101,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/113
1981,4282574,701/113,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,2.0,701/113
1981,4283762,701/113,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,1.0,701/113
1981,4286683,701/123,"Zemco, Inc.",2,org_oOWmjVReH6OvUaKJlqMK,US,CA,289130,2.0,701/123
1981,4287565,701/105,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,9.0,701/105
1981,4290107,701/109,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/113
1981,4292531,903/906,General Electric Company,2,org_rWEJSmVQtQg24yFJqVRb,US,PA,336770,1.0,903/906
1981,4296472,701/123,Rockwell International Corporation,2,org_RVhLPtdxYAGWdc6GBsuA,US,PA,336345,1.0,701/123
1981,4296722,701/103,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,701/113
1981,4302815,701/110,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,2.0,701/110
1981,4303976,701/123,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,1.0,701/123
1981,4303977,701/101,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,701/101
1981,4304173,60/516,Societe Civile de Recherches et d'Etudes de Moteurs a Barillet (S.C.R.E.B.),3,org_zLeiKGK9Ecv9lEY6GwDn,FR,,449441,1.0,60/516
1981,4305254,903/903,"Daihatsu Motor Co., Ltd.",3,org_7srvaWGIlQ2SfdoMYHQn,JP,,57078,2.0,903/903
1981,4307450,701/103,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,3.0,701/113
1981,4307452,701/123,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,701/123
1982,4309620,903/960,Calspan Corporation,2,org_pOEaUstR9bTp417MsMDf,US,NY,303545,1.0,903/960
1982,4309759,701/105,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/113
1982,4309971,701/103,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,4.0,701/103
1982,4310888,701/113,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/113
1982,4312041,701/123,"Lear Siegler, Inc.",2,org_ngEKmPnqd036KLtfd0C4,US,CA,270351,1.0,701/123
1982,4319327,701/104,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,701/105
1982,4322799,701/108,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,7.0,701/108
1982,4322800,701/105,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,7.0,701/108
1982,4325123,701/110,The Boeing Company,2,org_6FkNUgPmBObtXN2u4NFb,US,WA,46583,3.0,701/110
1982,4325336,701/110,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,3.0,701/110
1982,4325451,903/951,Komatsu Ltd.,3,org_yKkSwBfk6Vaz2rojVdyC,JP,,434264,1.0,903/951
1982,4326381,60/516,The United States of America as represented by the Administrator of the National Aeronautics and Space Administration,6,org_xW4A9F5IRtCxQMUAuuxs,US,DC,425122,1.0,60/516
1982,4328776,701/110,"Nippon Soken, Inc.",3,org_v6BdyBhY0qQityfQnuSz,JP,,384280,3.0,701/110
1982,4335429,903/903,"Daihatsu Motor Co., Ltd.",3,org_7srvaWGIlQ2SfdoMYHQn,JP,,57078,1.0,903/903
1982,4337515,701/101,Sun Electric Corporation,2,org_9F5VTCM8GFgR5PrxLrhW,US,IL,68586,1.0,701/101
1982,4337744,701/110,Robert Bosch GmbH,3,org_Xrxwlxzdisd5wBuRz364,DE,,423181,7.0,701/110
1982,4339015,903/951,Lucas Industries public limited company,3,org_gyjgTFSEfemBKT0a88L9,GB,,175705,2.0,903/951
1982,4341826,60/272,United Technologies Corporation,2,org_M9yn63K24vPZ9NrEv2e6,US,CT,252975,2.0,60/272
1982,4344140,701/101,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/101
1982,4344141,701/123,Smiths Industries Limited,3,org_RD4vmauiycuDgKG99ohh,GB,,327791,1.0,701/123
1982,4344364,701/123,Halliburton Company,2,org_N36X0wVTSbKDou4AqnC0,US,OK,265750,2.0,701/123
1982,4344399,701/110,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,3.0,701/110
1982,4346556,60/272,General Motors Corporation,2,org_5EOe5KemY3Qx7Gr7dlJQ,US,MI,38960,2.0,701/103
1982,4347570,701/105,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,6.0,701/108
1982,4348727,701/104,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,4.0,701/110
1982,4348728,701/107,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,3.0,701/110
1982,4349877,701/104,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,701/113
1982,4351405,903/914,Hybricon Corporation,2,org_zu0oukatppdQyn7pzg4o,US,CA,453556,2.0,903/914
1982,4352158,701/104,Honda Giken Kogyo Kabushiki Kaisha,3,org_yUTZSCLdspe7vDSdzJ6d,JP,,439112,3.0,701/104
1982,4354238,701/104,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/113
1982,4354239,701/105,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,1.0,701/105
1982,4355360,701/101,"Nissan Motor Co., Ltd.",3,org_5vNXv1xWJ6aH9VmhCVri,JP,,43058,2.0,701/105
1982,4364233,60/516,"Cummins Engine Company, Inc.",2,org_awogNg609WYKBbax3pN5,US,IN,86756,1.0,60/516
1982,4365299,701/104,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,4.0,701/110
1982,4366541,701/103,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/113
1983,4367530,701/108,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/123
1983,4373187,701/109,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,4.0,701/123
1983,4379332,701/105,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,2.0,701/110
1983,4379333,701/105,"Nippondenso Co., Ltd.",3,org_Qk7ZY773gg0j4nmTULIb,JP,,316278,3.0,701/105
1983,4380800,701/101,The Bendix Corporation,2,org_6jWVXUock8hnH1uTSjxm,US,MI,47634,1.0,701/110
1983,4383441,701/108,Ford Motor Company,2,org_gS22ceEtcC9jIcM5JgE5,US,MI,172641,5.0,701/108
1983,4386406,701/123,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,2.0,701/123
1983,4387429,701/105,"Hitachi, Ltd.",3,org_yOSqt2KbCZQB2LRNpEKS,JP,,436191,3.0,701/123
1983,4389990,701/110,Control Logic (Proprietary) Limited,3,org_dQ9r4xs55v2Nzt1NVl0X,ZA,,127726,1.0,701/110
1983,4391130,701/109,Toyota Jidosha Kabushiki Kaisha,3,org_0eDis9QrietKKeULTT5r,JP,,2267,2.0,701/123
